número_pregunta,pregunta,salida_llm,nombre_variante
52,when was the treaty of brest litovsk signed,"March 3, 1918 February 9, 1918 March 3, 1918 19 August 1918 27 August 1918 19 August 1915 19 August 1918 10 September 1917 11 November 1917 9 November 1917 8 November 1917 26 April 1918 18 April 1905 6 April 1905 18 April 1905 19 December 1931 15 April 1753 1787 January 2, 1787 1819 7 July 1903 12 March 1917",rag
53,which school has the most ncaa men's basketball championships,University of California Los Angeles,rag
54,who won s8 of rupaul's drag race,Bob The Drag Queen,rag
55,when did all eyez on me come out album,"February 13, 1996",rag
56,who is woody from toy story based on,Woody is based on Woody a cartoon character Woody is based on Buzz Lightyear Woody is based on Woody's father Woody is based on Tom Sawyer Woody is based on Woody Stark Woody is based on a specific Slinky toy from the early nineteen fifties Woody is based on Woody Woods a teen sailor Woody is based on Bo Peep,rag
57,the place where the peasants struggled against the indigo plantation system,Bengal,rag
58,who was playing during the las vegas shooting,Jason Aldean,rag
59,who does the voice of nemo's dad in finding dory,Albert Brooks,rag
60,who played the lone ranger on the tv series,Clayton Moore John Hart Jay Silverheels Patrick Swayze Christopher Walken Armie Hammer Donald Sutherland,rag
61,muslim population in india according to 2011 census,"14.2 percent of 1,210,900,000",rag
62,where is indian head rock on smith lake,Indian Head Rock is located on Smith Lake in North Alabama near Cullman Alabama Indian Head Rock is located on Smith Lake in Washington Indian Head Rock is located on the south shoreline of Smith Lake Indian Head Rock is located on Smith Lake in the Pictured Rocks National Lakeshore Indian Head Rock is located on Smith Lake in Ohio at the bottom of the Ohio River Indian Head Rock is located on Smith Lake in the Wallowa Mountains Indian Head Rock is located on Smith Lake in California Indian Head Rock is located on Smith Lake in Sullivan County Washington,rag
63,who wrote the book around the world in 80 days,Jules Verne,rag
64,when did they quit making silver half dollars,1964 1965 1969 1972 1977 1995 2006 2007 2010,rag
65,who stirred up a slave rebellion in virginia,Nat Turner William Gooch James Madison Slaves,rag
66,players to average triple double in a season,Oscar Robertson Russell Westbrook Nikola Jokic,rag
67,where did the last name paniagua come from,Spanish origin derived from the words pan and agua water,rag
68,who does matthew broderick play in bee movie,Matthew Broderick plays the lead character in Bee movie,rag
69,when does the next season 3 of rick and morty start,July 30 2017,rag
70,who has been appointed as the new chancellor of nalanda university,Arvind Panagariya Narayana Dewan Nirmala Jayapal Narayana Jayapal Anil Kumar Singh Rajendra Prasad K V Naipal A M M Chandrasekaran Pranab Mukherjee Aishwarya Rai Bachchan Narendra Modi Sachin Chaturvedi Sarangulu Nasibeni Nambira Nambira Nanatha Sitharaman,rag
71,who was involved in the valentine's day massacre,George “Bugs” Moran Al Capone Byron Bolton Fred Goetz Fred Burke Ray Nugent Bob Carey Gus Winkler Jack “Machine Gun” McGurn The Purple Gang,rag
72,how many grammy nominations did the starland vocal band earn in 1976,The Starland Vocal Band earned eight Grammy nominations in 1976.,rag
73,who played michael myers rob zombie's halloween 2,Tyler Mane played Michael Myers in Rob Zombie’s Halloween 2. Nick Castle played Michael Myers in Rob Zombie's Halloween 2.,rag
74,who piloted the first commercial civil aviation flight that took place in india,J.R.D. Tata Henri Pequet Rajendra Prasad Arun Jaitley Rajah Datta Sir Thomas Royce Dr Prakash Javadekar Rajasentha Rani Mukhtar Indian pilots,rag
75,who is the actress playing mac on young and the restless,Kelly Kruger Ashley Bashioum Clementine Ford Elizabeth Harding Kelly Monaco Meryl Streep Emma Stone,rag
76,who sang knockin on heaven's door originally,Bob Dylan,rag
77,who came second in the x factor in 2009,Chris Issacs Leona Lewis Bruno Mars Dan Stevens Katie Waissel Darren Clarke Cole Nicola Stallone Kylie Minogue,rag
78,6. what is the name of the danish goldsmith who founded the pandora jewelry company,Per Enevoldsen,rag
79,who was known for having a sign on his desk that read the buck stops here,Harry S Truman Franklin D Roosevelt Robert M Fox Bill Gates William Franklin Buck Buck Jr Bob Geldof Bill Pullman Allen Weisselberg Steven Raab,rag
80,who has the most assist in nba history,John Stockton has the most assists in NBA history,rag
81,battle of shiloh where did it take place,The Battle of Shiloh took place in southwestern Tennessee between the towns of Shiloh and Pittsburg Landing in Hardin County,rag
82,where does the song london bridge is falling down come from,English song London Bridge is Falling Down American rock band The Killers English rock band The Clockwork Oranges British rock band The Beatles Nursery rhyme Poem,rag
83,what are all of the american horror story seasons,seven seasons four seasons five seasons six seasons twelve seasons thirteen seasons,rag
84,when did mini me died from austin powers,"April 21, 2018",rag
85,is bay of bengal a sea or ocean,Bay of Bengal is a sea or ocean,rag
86,when did my life as a teenage robot end,2006 2008 2009 2013 2017 2018,rag
87,when did come dine with me first start,January 10 2005,rag
88,who was the first to sing my way,Paul Anka Frank Sinatra,rag
89,when was the last time the us had a military draft,December seven nineteen seventy two,rag
90,what is the common name of dihydrogen monoxide,Water,rag
91,what state contains the geographic center of north america,North Dakota,rag
92,what is the latest version on mac os,macOS 10.13.6,rag
93,pirates of the caribbean cast will turner's dad,Stellan Skarsgard,rag
94,highest number of team goals in world cup,Brazil with 237 goals,rag
95,who is piper from orange is the new black married to,Alex Vause Robert J Schilling Alyson Moore Bill Cox Gordon A Taylor Nancy Drew Morelli Vanessa Kirby Howard Schultz Piper Chapman,rag
96,where did the movie 10000 bc take place,United States Colorado Namib desert in Southern Africa Sub-Sahara and arabian peninsula Urals South Pacific Berlin Colorado,rag
97,when did the beatles perform at shea stadium,August fifteenth nineteen sixty-five June twenty-sixth nineteen sixty-five June twenty-seventh nineteen sixty-five nineteen sixty-five nineteen sixty-six nineteen sixty-seven nineteen sixty-nine nineteen eighty-three February twelfth nineteen sixty-four,rag
98,where was he's just not that into you filmed,"Baltimore, Beverly Hills, Burbank, Formosa Street, Handy Market, Madras, Maida Vale, Portland, RMS Queen Mary, Venice, United States of America, Canada, Los Angeles, New York City, California, Maryland, and Illinois",rag
99,who was the leader of australia during ww2,John Curtin was the leader of Australia during World War Two Robert Menzies was the leader of Australia during World War Two Ben Chifley was the Prime Minister of Australia,rag
100,who plays derek's sister nancy on grey's anatomy,Embeth Jean Davidtz Jessica Simpson Ellen Pompeo Kristin Richards Caterina Scorsone Amy Acker,rag
